,id,uptime,ifans,gender,num_fans,fans_cat,num_videos,num_charge,av_coin,av_danmu,av_star,av_like,av_play,av_comment,av_share
162,326121578,2022-12-01,6.34,False,59800,0,5067,4,0,0,1,20,169,1,1
163,156710,2022-12-01,4.02,False,82000,0,15600,143,1,2,6,62,2464,28,3
164,594609,2022-12-01,4.44,False,79900,0,1089,3472,5,0,13,100,593,4,0
165,292012051,2022-07-20,4.42,True,8889,0,374,0,13,13,1012,1212,13100,53,34
166,1813661316,2022-08-28,3.73,False,26400,0,133,0,5,0,5,73,541,3,0
167,11310995,2022-04-15,3.37,True,29900,0,182,0,964,303,18500,20400,226400,509,1632
168,2394557,2022-06-08,8.4,True,77600,0,4074,10,31,7,138,541,4823,16,38
169,15403799,2022-08-14,3.54,True,76600,0,377,28,111,44,798,958,32700,51,570
170,35654800,2022-11-16,3.44,True,38700,0,151,18,20600,1865,12400,44100,498300,2015,11000
171,402223446,2022-11-29,8.3,False,89300,0,2441,5433,249,3,18,322,993,12,1
172,95511972,2022-10-31,6.74,False,79400,0,3370,10,1,24,28,108,11600,56,189
173,593641124,2022-11-30,3.91,False,19200,0,344,3,41,6,3148,630,34600,10,6
174,270386449,2022-12-01,4.0,True,44800,0,1002,20,6,0,258,65,42600,5,0
175,61844709,2022-12-01,8.24,False,97700,0,682,6673,46,125,72,744,24100,76,96
176,935899,2022-07-09,3.56,False,79300,0,80,716,2558,95,3137,6222,51600,312,297
177,281353084,2022-03-18,3.53,False,81000,0,93,181,53,42,58,715,4248,35,16
178,434967552,2022-12-02,7.75,True,38200,0,2755,1,2,0,14,96,4580,20,25
179,386873061,2022-11-21,4.31,True,24300,0,222,9,460,133,2412,6477,185000,193,853
180,245050,2020-12-18,4.37,False,89300,0,752,109,31,11,145,222,7018,57,11
181,588672566,2022-08-29,4.06,True,46400,0,192,15,12,1,45,172,9561,9,1
182,46733369,2021-09-02,4.44,False,77800,0,42,107,1073,2696,640,3245,61100,130,668
