"","idx","id","uptime","ifans","gender","num_fans","fans_cat","num_videos","num_charge","av_coin","av_danmu","av_star","av_like","av_play","av_comment","av_share"
"1006",1005,"326499679",0.987058237929318,1,"1",1,"3",0.0309872029250457,0.00392682926829268,8.96432199844618e-05,0.000434782608695652,0.000542433947157726,0.00269497069999516,0.00434351564463398,0.000971240489936869,0.000617198335644938
"1007",1006,"6574487",0.848183175709308,0.162101259018834,"1",0.098619336861158,"3",0.00374771480804388,0.0531382113821138,0.0122512400645431,0.0824592391304348,0.0143034427542034,0.0553826880884882,0.092974156512633,0.040953973992338,0.0154438280166436
"1008",1007,"8469526",0.999004479840717,0.0760993157056914,"0",0.0340875187180869,"3",0.00998171846435101,0.0217479674796748,0.00327197752943286,0.0193885869565217,0.00933947157726181,0.0238954443581044,0.0273250842616566,0.0159715102789619,0.00561719833564494
"1009",1008,"2200736",0.990044798407168,0.180045895267826,"0",0.109705748358823,"3",0.00117001828153565,0.0577723577235772,0.137452937309508,0.360054347826087,0.145716573258607,0.174528169275422,0.185477518926335,0.0671594812856346,0.0676074895977809
"1010",1009,"4162287",0.993031358885017,0.279258233238924,"1",0.134343533842206,"3",0.0059963436928702,0.29349593495935,0.00735074403872587,0.0486413043478261,0.0189411529223379,0.0169227066884528,0.0421044234045717,0.015216101009011,0.0218446601941748
"1011",1010,"284120",0.996017919362867,0.110210663414029,"1",0.0495095174545864,"3",0.00393053016453382,0.124390243902439,0.0056475228590211,0.00739130434782609,0.0175540432345877,0.0145617256808835,0.0249730613639096,0.0172485116638788,0.0138280166435506
"1012",1011,"3562949",0.999502239920358,0.0725641396704637,"1",0.0386835726943721,"3",0.0593601462522852,0.00241463414634146,1.97215083965816e-05,0.000326086956521739,0.000158126501200961,0.000440821412225372,0.00104758241424862,0.000323746829978956,0.000187239944521498
"1013",1012,"1643718",0.998506719761075,0.103719170577412,"0",0.0619172056749546,"3",0.0243510054844607,0.0926747967479675,0.00296001912388693,0.0205027173913043,0.00325460368294636,0.00865786748143658,0.00982675001882053,0.0101620532743395,0.00296809986130374
"1014",1013,"19577966",0.894474863115978,0.200781459965682,"1",0.181336469037135,"3",0.00261425959780622,0,0.0867746369449591,0.403532608695652,0.0598478783026421,0.1642385878421,0.245568374322133,0.242810122484217,0.0832177531206657
"1015",1014,"37946996",0.983076157292185,0.0628475739596039,"1",0.0433601345713238,"3",0.00341864716636197,0.0394634146341463,0.000340046614474392,0.0010054347826087,0.00033226581265012,0.00125386702712064,0.0018490934498196,0.0009892264249357,0.000180305131761442
"1016",1015,"3032988",0.995520159283225,0.109239006842943,"1",0.0763210162559659,"3",0.00793418647166362,0.0397154471544715,0.00248192195063647,0.0247554347826087,0.00393114491593275,0.0181602678214988,0.0511307860014225,0.0101620532743395,0.0156657420249653
"1017",1016,"617285",0.99701343952215,0.115854540943954,"0",0.0512593803543674,"3",0.00681901279707495,0.111382113821138,0.00338373274368015,0.0317527173913043,0.00633506805444355,0.0135496357038355,0.0337747012405069,0.0342811921077717,0.0100138696255201
"1018",1017,"9824766",0.989547038327526,0.424138430051064,"0",0.223174530709976,"3",0.0219012797074954,0.169918699186992,0.0292236897149346,0.0816983695652174,0.0200060048038431,0.0845646157600402,0.152270991630202,0.0564938218313279,0.0378155339805825
